Category,Rank,Tier,Name,Threat Class,Threat Score,EHP,DPS,HP,ATK,DEF,RES,Attack Interval,Rank (threat_score),Tier (threat_score),Rank (hp),Tier (hp),Rank (ehp),Tier (ehp),Rank (dps),Tier (dps),Rank (atk),Tier (atk),Rank (def),Tier (def),Rank (res),Tier (res),Rank (weight),Tier (weight)
all,27,S,美声水手长,ELITE,839,112500,343,30000,850,800,30.0,3.00,27,S,15,S,37,S,54,A,64,A,56,A,96,A,34,S
all,28,S,“左手”泰特斯·白杨,ELITE,828,144000,360,20000,750,700,50.0,2.50,28,S,38,S,27,S,49,A,86,A,79,A,37,S,83,A
all,29,S,大富翁,ELITE,827,156250,280,25000,1400,1500,60.0,5.00,29,S,23,S,23,S,87,A,18,S,10,S,9,S,12,S
all,30,S,巫王乐团大提琴家,ELITE,818,210000,175,20000,700,1000,60.0,4.00,30,S,39,S,17,S,194,C,100,B,34,S,10,S,35,S
all,31,S,反壳龟·缚,ELITE,803,71688,625,18500,500,750,40.0,0.80,31,S,52,A,65,A,13,S,154,B,76,A,78,A,36,S
all,32,S,“校官”,ELITE,775,101250,380,27000,800,700,40.0,2.50,32,S,17,S,42,A,47,A,70,A,80,A,79,A,13,S
all,33,S,游击队盾卫组长,ELITE,774,156250,211,25000,800,1500,60.0,3.80,33,S,24,S,24,S,140,B,71,A,11,S,11,S,37,S
all,34,S,马特奥的亲卫,ELITE,774,114750,395,18000,1100,1000,30.0,4.00,34,S,55,A,34,S,42,A,31,S,35,S,97,B,84,A
all,35,S,集团军核心指挥官,ELITE,768,65000,750,20000,1500,500,40.0,2.00,35,S,40,A,74,A,9,S,12,S,116,B,80,A,146,B
all,36,S,飞腿毛贼,ELITE,763,88000,600,22000,0,700,50.0,1.00,36,S,32,S,47,A,16,S,345,F,81,A,38,S,185,C
all,37,S,“铣痕”团伙精锐佣兵,ELITE,757,70200,567,19500,1420,640,40.0,2.80,37,S,49,A,67,A,19,S,16,S,99,B,81,A,38,S
all,38,S,孽罪奇美拉,ELITE,736,171000,220,20000,800,1000,50.0,5.00,38,S,41,A,21,S,131,B,72,A,36,S,39,S,39,S
all,39,S,无羁的“盛怒”,ELITE,735,64000,500,16000,1500,900,30.0,3.00,39,S,70,A,77,A,25,S,13,S,48,A,98,B,85,A
all,40,S,岩甲兽·咒,ELITE,735,82875,418,19500,950,950,35.0,4.00,40,A,50,A,50,A,40,A,51,A,44,A,93,A,14,S
all,41,S,马特奥的警卫,ELITE,713,114750,335,18000,1100,1000,30.0,4.00,41,A,56,A,35,S,55,A,32,S,37,S,99,B,86,A
all,42,S,传奇战争幽灵,ELITE,705,63000,467,12000,1400,500,60.0,3.00,42,A,104,B,81,A,35,S,19,S,117,B,12,S,87,A
all,43,A,异光体洋流使者,ELITE,693,64163,520,14500,1200,770,60.0,3.00,43,A,90,A,76,A,22,S,25,S,75,A,13,S,40,A
all,44,A,血腥厨子,ELITE,687,129375,200,15000,1000,1500,40.0,5.00,44,A,74,A,30,S,148,B,39,S,12,S,82,A,41,A
all,45,A,鄙瘴,ELITE,680,97200,360,18000,900,500,30.0,2.50,45,A,57,A,43,A,50,A,53,A,118,B,100,B,88,A
all,46,A,粹影魂灵法骸,ELITE,666,76500,403,18000,1200,800,50.0,3.50,46,A,58,A,57,A,41,A,26,S,57,A,40,A,42,A
all,47,A,赏金猎人扰乱者队长,ELITE,664,75000,300,20000,750,600,50.0,2.50,47,A,42,A,59,A,72,A,87,A,100,B,41,A,15,S
all,48,A,倾轧者,ELITE,661,106250,286,25000,1000,1000,30.0,3.50,48,A,25,S,40,A,81,A,40,A,38,S,101,B,43,A
all,49,A,眩光记录员,ELITE,660,108750,303,29000,730,600,50.0,3.00,49,A,16,S,38,S,69,A,97,B,101,B,42,A,89,A
all,50,A,爆鸣水手长,ELITE,659,81250,293,25000,700,600,30.0,3.00,50,A,26,S,52,A,80,A,101,B,102,B,102,B,44,A
all,51,A,深池护卫队精锐成员,ELITE,658,77000,360,22000,750,600,40.0,2.50,51,A,33,S,56,A,51,A,88,A,103,B,83,A,16,S
all,52,A,集团军盾卫,ELITE,653,140625,211,15000,800,1500,60.0,3.80,52,A,75,A,29,S,141,B,73,A,13,S,14,S,45,A
all,53,A,岩甲兽,ELITE,652,69750,390,18000,840,850,30.0,4.00,53,A,59,A,70,A,43,A,66,A,53,A,103,B,17,S
all,54,A,战术防御者组长,ELITE,648,70000,329,10000,700,1000,60.0,2.60,54,A,126,B,69,A,60,A,102,B,39,S,15,S,46,A
all,55,A,新硎,ELITE,642,50750,614,14000,1350,750,30.0,2.20,55,A,92,A,101,B,15,S,20,S,77,A,104,B,90,A
all,56,A,残党乐团大提琴家,ELITE,640,149625,150,15000,600,900,60.0,4.00,56,A,76,A,25,S,230,C,127,B,49,A,16,S,47,A
all,57,A,“受诅者”,ELITE,638,96250,176,22000,880,950,40.0,5.00,57,A,34,S,44,A,193,C,63,A,45,A,84,A,18,S
all,58,A,不动的“偷闲”,ELITE,630,103500,211,18000,800,1300,60.0,3.80,58,A,60,A,41,A,142,B,74,A,16,S,17,S,48,A
all,59,A,锋盔骑士团精锐,ELITE,629,93600,320,13000,650,700,50.0,2.50,59,A,98,B,45,A,62,A,115,B,82,A,43,A,91,A
all,60,A,改进型量产巨像,ELITE,623,115000,200,20000,800,1400,50.0,4.00,60,A,43,A,32,S,149,B,75,A,14,S,44,A,49,A
all,61,A,高级武装人员,ELITE,619,67500,429,18000,1500,800,30.0,3.50,61,A,61,A,72,A,38,S,14,S,58,A,105,B,92,A
all,62,A,“大斧”,ELITE,619,67500,429,18000,1500,800,30.0,3.50,62,A,62,A,73,A,39,S,15,S,59,A,106,B,93,A
all,63,A,家族暗影灭迹人,ELITE,586,74250,350,18000,1050,800,45.0,3.00,63,A,63,A,61,A,53,A,35,S,60,A,68,A,94,A
all,64,A,复核洋流使者,ELITE,581,49830,470,13200,1050,660,45.0,3.00,64,A,97,B,103,B,34,S,36,S,93,A,69,A,50,A
all,65,A,万国信使，奥伦,ELITE,577,89125,259,23000,700,550,60.0,2.70,65,A,29,S,46,A,101,B,103,B,109,B,18,S,51,A
all,66,A,怪葫芦,ELITE,573,36000,500,12000,600,500,30.0,1.20,66,A,105,B,125,B,26,S,128,B,119,B,107,B,52,A
all,67,A,战争幽灵,ELITE,570,52500,367,10000,1100,500,60.0,3.00,67,A,127,B,97,B,48,A,33,S,120,B,19,S,95,A
all,68,A,拟南兽（闪光友方）,ELITE,570,87500,281,25000,900,500,50.0,3.20,68,A,27,S,48,A,84,A,54,A,121,B,45,A,96,A
all,69,A,自助出餐终端原型机,ELITE,545,44000,510,8000,900,1300,50.0,2.00,69,A,161,B,113,B,23,S,55,A,17,S,46,A,97,B
all,70,A,集团军前线指挥员,ELITE,543,48750,500,15000,1000,500,40.0,2.00,70,A,77,A,106,B,27,S,41,A,122,B,85,A,147,B
all,71,A,注能魂灵法骸,ELITE,540,63750,317,15000,900,800,50.0,3.50,71,A,78,A,78,A,67,A,56,A,61,A,47,A,53,A
all,72,A,游击队盾卫,ELITE,538,86250,184,15000,700,1300,60.0,3.80,72,A,79,A,49,A,180,C,104,B,18,S,20,S,54,A
all,73,A,阿格尼尔神父,ELITE,529,71500,200,22000,900,500,40.0,4.50,73,A,35,S,66,A,150,B,57,A,123,B,86,A,19,S
all,74,A,泥岩小队践行者组长,ELITE,526,73125,286,13000,1000,800,30.0,3.50,74,A,99,B,62,A,82,A,42,A,62,A,108,B,98,B
all,75,A,深池护卫队成员,ELITE,526,55250,320,17000,650,500,40.0,2.50,75,A,67,A,93,A,63,A,116,B,124,B,87,A,20,S
all,76,A,“被弃者”,ELITE,521,78375,144,19000,720,900,35.0,5.00,76,A,51,A,55,A,242,C,98,B,50,A,94,A,21,S
all,77,A,山雪鬼队长,ELITE,520,80000,216,20000,800,700,50.0,3.70,77,A,44,A,53,A,137,B,76,A,83,A,48,A,22,S
all,78,A,赏金猎人扰乱者,ELITE,517,52500,260,15000,650,500,50.0,2.50,78,A,80,A,98,B,98,B,117,B,125,B,49,A,23,S
all,79,A,锋盔骑士团学徒,ELITE,516,72000,280,10000,550,700,50.0,2.50,79,A,128,B,64,A,88,A,142,B,84,A,50,A,99,B
all,80,A,赏金猎人弩手队长,ELITE,514,65000,260,20000,600,600,30.0,3.00,80,A,45,A,75,A,99,B,129,B,104,B,109,B,148,B
all,81,A,恶笼草,ELITE,509,30000,600,10000,600,500,30.0,1.00,81,A,129,B,135,B,17,S,130,B,126,B,110,B,55,A
all,82,A,乌顶巨角卢鲁,ELITE,508,75000,260,20000,1000,800,30.0,5.00,82,A,46,A,60,A,100,B,43,A,63,A,111,B,100,B
all,83,A,宝箱海怪,ELITE,499,45000,384,12000,550,700,40.0,1.70,83,A,106,B,109,B,46,A,143,B,85,A,88,A,56,A
all,84,A,帝国前锋百战精锐,ELITE,495,63750,267,15000,1200,800,50.0,4.50,84,A,81,A,79,A,92,A,27,S,64,A,51,A,57,A
all,85,A,龙卷风忍者,NORMAL,491,39900,500,12000,750,350,20.0,1.50,85,A,107,B,119,B,28,S,89,A,163,B,163,B,149,B
all,86,A,沉沙,ELITE,486,35750,500,11000,1100,600,30.0,2.20,86,A,119,B,126,B,29,S,34,S,105,B,112,B,101,B
all,87,A,帝国炮火中枢先兆者,ELITE,485,68000,240,16000,1200,800,50.0,5.00,87,A,71,A,71,A,115,B,28,S,65,A,52,A,58,A
all,88,A,战术防御者,ELITE,485,39200,329,7000,700,800,40.0,2.60,88,A,188,C,120,B,61,A,105,B,66,A,89,A,59,A
all,89,A,深池塑能术师队长,ELITE,480,72500,240,20000,0,550,50.0,5.00,89,A,47,A,63,A,116,B,346,F,110,B,53,A,102,B
all,90,A,命定的反派,ELITE,472,70125,188,17000,640,650,60.0,5.00,90,A,68,A,68,A,173,B,125,B,94,A,21,S,103,B
all,91,A,“慰朽灵幛”,ELITE,467,63000,240,18000,1200,500,50.0,5.00,91,A,64,A,82,A,117,B,29,S,127,B,54,A,60,A
all,92,A,量产巨像,ELITE,465,78750,163,15000,650,1200,50.0,4.00,92,A,82,A,54,A,213,C,118,B,24,S,55,A,61,A
all,93,A,寻路者知名甜品商,ELITE,462,75938,180,22500,600,650,30.0,5.00,93,A,30,S,58,A,185,C,131,B,95,A,113,B,24,S
all,94,A,寻路者信使,ELITE,452,63750,222,17000,600,500,60.0,2.70,94,A,69,A,80,A,130,B,132,B,128,B,22,S,62,A
all,95,A,Dor-γ号改造体,ELITE,447,59063,200,7500,600,1200,50.0,3.00,95,A,179,C,84,A,151,B,133,B,25,S,56,A,104,B
all,96,A,勤奋的钻头,NORMAL,447,47250,250,13500,750,800,20.0,3.00,96,A,96,A,108,B,106,B,90,A,67,A,164,B,105,B
all,97,A,箱形恐鱼,ELITE,445,30000,500,10000,600,500,30.0,1.20,97,B,130,B,136,B,30,S,134,B,129,B,114,B,106,B
all,98,A,巨壳藤蔓,ELITE,445,30000,500,10000,600,500,30.0,1.20,98,B,131,B,137,B,31,S,135,B,130,B,115,B,107,B
all,99,A,泥岩小队践行者,ELITE,437,56250,257,10000,900,800,30.0,3.50,99,B,132,B,88,A,102,B,58,A,68,A,116,B,108,B
all,100,A,“偷闲”,ELITE,437,57000,184,12000,700,1000,50.0,3.80,100,B,108,B,87,A,181,C,106,B,40,A,57,A,63,A
all,101,B,覆面大锤客,NORMAL,437,56250,257,10000,900,800,30.0,3.50,101,B,133,B,89,A,103,B,59,A,69,A,117,B,109,B
all,102,B,家族灭迹人,ELITE,418,49500,267,12000,800,800,45.0,3.00,102,B,109,B,104,B,93,A,77,A,70,A,70,A,110,B
all,103,B,武装人员,ELITE,408,42000,300,12000,1050,700,30.0,3.50,103,B,110,B,114,B,73,A,37,S,86,A,118,B,111,B
all,104,B,内测版自助出餐终端,ELITE,405,27000,460,6000,800,1000,40.0,2.00,104,B,207,C,148,B,36,S,78,A,41,A,90,A,112,B
all,105,B,群集之瘴,NORMAL,401,40500,300,10000,750,200,30.0,2.50,105,B,134,B,117,B,74,A,91,A,212,C,119,B,113,B
all,106,B,帝国炮火先兆者,ELITE,399,55250,200,13000,1000,800,50.0,5.00,106,B,100,B,94,A,152,B,44,A,71,A,58,A,64,A
all,107,B,弧光锋卫长,ELITE,399,54250,267,14000,800,650,50.0,3.00,107,B,93,A,96,A,94,A,79,A,96,A,59,A,186,C
all,108,B,赏金猎人弩手,ELITE,399,45000,227,15000,500,500,30.0,3.00,108,B,83,A,110,B,127,B,155,B,131,B,120,B,150,B
all,109,B,“迷迭香”的无人机,ELITE,398,50625,200,10000,700,550,40.0,5.00,109,B,135,B,102,B,153,B,107,B,111,B,91,A,114,B
all,110,B,活性态萨卡兹术师结晶,ELITE,391,55000,210,10000,600,1200,60.0,4.00,110,B,136,B,95,A,144,B,136,B,26,S,23,S,115,B
all,111,B,寻路者甜品商,ELITE,384,59063,160,17500,500,650,30.0,5.00,111,B,66,A,85,A,216,C,156,B,97,B,121,B,25,S
all,112,B,帝国前锋精锐,ELITE,383,51000,200,12000,900,800,50.0,4.50,112,B,111,B,100,B,154,B,60,A,72,A,60,A,65,A
all,113,B,度假区越野车,NORMAL,383,37500,214,15000,750,500,10.0,3.50,113,B,84,A,122,B,139,B,92,A,132,B,280,D,66,A
all,114,B,山雪鬼,ELITE,378,56250,162,15000,600,600,50.0,3.70,114,B,85,A,90,A,215,C,137,B,106,B,61,A,26,S
all,115,B,高能瓦斯车,ELITE,372,45000,157,15000,550,500,30.0,3.50,115,B,86,A,111,B,223,C,144,B,133,B,122,B,27,S
all,116,B,“灵幛”,ELITE,369,52500,180,15000,900,500,50.0,5.00,116,B,87,A,99,B,186,C,61,A,134,B,62,A,67,A
all,117,B,乌萨斯突击者队长,ELITE,367,35000,318,10000,700,500,50.0,2.20,117,B,137,B,128,B,66,A,108,B,135,B,63,A,151,B
all,118,B,风遁宗师,NORMAL,364,28500,275,12000,550,300,25.0,2.00,118,B,112,B,145,B,90,A,145,B,171,B,155,B,116,B
all,119,B,朗姆酒推荐者,NORMAL,357,28875,333,10500,1000,500,20.0,3.00,119,B,124,B,141,B,56,A,45,A,136,B,165,B,117,B
all,120,B,假酒海盗,NORMAL,357,28875,333,10500,1000,500,20.0,3.00,120,B,125,B,142,B,57,A,46,A,137,B,166,B,118,B
all,121,B,巨大雪球投手,NORMAL,353,32500,267,10000,800,700,20.0,3.00,121,B,138,B,130,B,95,A,80,A,87,A,167,B,68,A
all,122,B,荒神大喰怪,NORMAL,353,55463,156,14500,625,880,25.0,4.00,122,B,91,A,92,A,224,C,126,B,52,A,156,B,69,A
all,123,B,赛场无赖射手,NORMAL,342,45000,167,15000,500,500,30.0,3.00,123,B,88,A,112,B,202,C,157,B,138,B,123,B,152,B
all,124,B,过气水手,NORMAL,339,35000,229,10000,800,800,20.0,3.50,124,B,139,B,129,B,123,B,81,A,73,A,168,B,70,A
all,125,B,改装排污车,NORMAL,337,37500,167,12000,750,750,10.0,4.50,125,B,113,B,123,B,203,C,93,A,78,A,281,D,71,A
all,126,B,翠梦使者,NORMAL,332,30281,215,9500,430,350,10.0,2.00,126,B,151,B,134,B,138,B,185,C,164,B,282,D,8,OP
all,127,B,萨卡兹子裔链术师组长,ELITE,325,58000,138,16000,550,550,50.0,4.00,127,B,72,A,86,A,251,C,146,B,112,B,64,A,119,B
all,128,B,枯焦锋脊裂兽,NORMAL,324,47775,220,13000,550,400,25.0,2.50,128,B,101,B,107,B,132,B,147,B,152,B,157,B,321,E
all,129,B,残党首席小提琴家,ELITE,323,60750,130,18000,650,550,40.0,5.00,129,B,65,A,83,A,262,D,119,B,113,B,92,A,120,B
all,130,B,扶桥老手,NORMAL,322,20000,360,8000,720,300,30.0,2.00,130,B,162,B,172,B,52,A,99,B,172,B,124,B,72,A
all,131,B,骇笑看客,ELITE,319,26000,250,8000,750,600,30.0,3.00,131,B,163,B,151,B,107,B,94,A,107,B,125,B,153,B
all,132,B,Dor-3号改造体,ELITE,317,35625,167,5000,500,1000,50.0,3.00,132,B,240,C,127,B,204,C,158,B,42,A,65,A,121,B
all,133,B,稳定态萨卡兹术师结晶,ELITE,313,40000,185,8000,500,1000,60.0,4.00,133,B,164,B,118,B,176,C,159,B,43,A,24,S,122,B
all,134,B,萨卡兹迷宫归乡者,NORMAL,313,32500,229,10000,800,700,20.0,3.50,134,B,140,B,131,B,124,B,82,A,88,A,169,B,123,B
all,135,B,家族恫吓者,NORMAL,309,31500,167,9000,500,900,10.0,3.00,135,B,154,B,132,B,205,C,160,B,51,A,283,D,73,A
all,136,B,咸鳞汁推荐者,NORMAL,305,24750,283,9000,850,500,20.0,3.00,136,B,155,B,154,B,83,A,65,A,139,B,170,B,124,B
all,137,B,弧光锋卫,ELITE,305,36250,233,10000,700,550,50.0,3.00,137,B,141,B,124,B,120,B,109,B,114,B,66,A,187,C
all,138,B,标枪恐鱼,NORMAL,298,26250,200,12500,700,240,20.0,3.50,138,B,103,B,149,B,155,B,110,B,207,C,171,B,125,B
all,139,B,“红标”精英渗透者,ELITE,294,24000,250,8000,500,500,30.0,2.00,139,B,165,B,158,B,108,B,161,B,140,B,126,B,188,C
all,140,B,提亚卡乌撕裂者,NORMAL,291,18000,389,7500,350,460,10.0,0.90,140,B,180,C,181,C,44,A,228,C,150,B,284,D,154,B
all,141,B,温泉“泥石流浪汉”,NORMAL,289,22500,281,10000,900,300,20.0,3.20,141,B,142,B,164,B,85,A,62,A,173,B,172,B,126,B
all,142,B,食腐野兽,NORMAL,288,22500,306,12000,550,150,20.0,1.80,142,B,114,B,165,B,68,A,148,B,262,D,173,B,155,B
all,143,B,大喰怪,NORMAL,288,42000,138,12000,550,800,20.0,4.00,143,B,115,B,115,B,252,C,149,B,74,A,174,B,74,A
all,144,B,平剑客,NORMAL,285,38500,125,14000,500,400,30.0,4.00,144,B,94,A,121,B,264,D,162,B,153,B,127,B,127,B
all,145,B,乌萨斯突击者,ELITE,282,26250,250,7500,550,500,50.0,2.20,145,B,181,C,150,B,109,B,150,B,141,B,67,A,156,B
all,146,B,采掘苦工,NORMAL,281,28750,250,11500,1000,400,20.0,4.00,146,B,118,B,143,B,110,B,47,A,154,B,175,B,189,C
all,147,B,寻路密探长,NORMAL,278,19000,261,8000,600,350,20.0,2.30,147,B,166,B,176,C,97,B,138,B,165,B,176,C,157,B
all,148,B,泥岩小队掷能者组长,ELITE,276,30000,192,10000,500,500,30.0,2.60,148,B,143,B,138,B,167,B,163,B,142,B,128,B,128,B
all,149,B,巡游零食商贩,NORMAL,271,49500,113,12000,450,500,20.0,4.00,149,B,116,B,105,B,283,D,176,C,143,B,177,C,129,B
all,150,B,风遁忍者,NORMAL,268,17000,250,8000,500,250,20.0,2.00,150,B,167,B,186,C,111,B,164,B,194,C,178,C,130,B
all,151,B,“未熄”,NORMAL,259,28750,233,10000,700,550,20.0,3.00,151,B,144,B,144,B,121,B,111,B,115,B,179,C,322,E
all,152,B,宿主流浪者,NORMAL,255,24750,217,11000,650,200,30.0,3.00,152,B,120,B,155,B,133,B,120,B,213,C,129,B,158,B
all,153,B,源石的腿脚,NORMAL,255,24750,217,11000,650,200,30.0,3.00,153,B,121,B,156,B,134,B,121,B,214,C,130,B,159,B
all,154,B,心涛,ELITE,250,22800,227,7600,500,500,30.0,2.20,154,B,178,C,162,B,128,B,165,B,144,B,131,B,160,B
all,155,B,无忧货运帮手,NORMAL,249,5625,1000,2500,1000,200,30.0,1.00,155,B,347,F,331,E,6,OP,48,A,215,C,132,B,190,C
all,156,B,机鳄战甲,NORMAL,248,28500,150,9500,750,700,10.0,5.00,156,B,152,B,146,B,231,C,95,A,89,A,285,D,75,A
all,157,B,架桥船工,NORMAL,235,12750,300,6000,600,150,30.0,2.00,157,B,208,C,210,C,75,A,139,B,263,D,133,B,76,A
all,158,B,渴求瞩目的道具师,NORMAL,233,21375,150,9500,300,300,20.0,2.00,158,B,153,B,169,B,232,C,269,D,174,B,180,C,131,B
all,159,B,温泉“流浪汉”,NORMAL,230,17000,234,8000,750,250,20.0,3.20,159,B,168,B,187,C,119,B,96,A,195,C,181,C,132,B
all,160,B,残党资深阵地术师,ELITE,224,82500,46,20000,0,650,60.0,13.00,160,B,48,A,51,A,340,E,347,F,98,B,25,S,133,B
all,161,B,寻路密探,NORMAL,223,14625,217,6500,500,300,20.0,2.30,161,B,199,C,198,C,135,B,166,B,175,B,182,C,161,B
all,162,B,玻璃球打手,NORMAL,223,12750,250,4000,800,250,20.0,3.20,162,B,281,D,211,C,112,B,83,A,196,C,183,C,162,B
all,163,B,提亚卡乌好战者,NORMAL,216,12100,320,5500,320,380,10.0,1.00,163,B,224,C,221,C,64,A,258,D,160,B,286,D,163,B
all,164,B,窃笑鳄鱼,NORMAL,216,12100,320,5500,320,380,10.0,1.00,164,B,225,C,222,C,65,A,259,D,161,B,287,D,164,B
all,165,B,“里子”,NORMAL,211,20000,183,8000,550,300,30.0,3.00,165,B,169,B,173,B,182,C,151,B,176,C,134,B,165,B
all,166,B,密林锋脊裂兽,NORMAL,211,29750,150,10000,450,300,15.0,3.00,166,B,145,B,139,B,233,C,177,C,177,C,267,D,323,E
all,167,B,热烈舞团领舞者,NORMAL,208,29750,120,14000,120,350,10.0,1.00,167,B,95,A,140,B,270,D,334,E,166,B,288,D,166,B
all,168,B,“萨科塔之眼”,NORMAL,207,11688,333,5500,1000,150,30.0,3.00,168,B,226,C,228,C,58,A,49,A,264,D,135,B,191,C
all,169,B,排球重扣车,NORMAL,207,18000,180,8000,450,400,10.0,2.50,169,B,170,B,182,C,187,C,178,C,155,B,289,D,134,B
all,170,B,"拥霜羽兽
",NORMAL,206,28000,114,10000,400,200,20.0,3.50,170,B,146,B,147,B,282,D,191,C,216,C,184,C,135,B
all,171,B,访问团强攻冠军,NORMAL,203,15750,217,7000,650,400,10.0,3.00,171,B,189,C,192,C,136,B,122,B,156,B,290,D,167,B
all,172,B,节日零食商贩,NORMAL,202,41250,75,10000,300,500,20.0,4.00,172,B,147,B,116,B,320,E,270,D,145,B,185,C,136,B
all,173,B,萨卡兹子裔工匠组长,NORMAL,200,19000,190,8000,380,350,20.0,2.00,173,B,171,B,177,C,169,B,209,C,167,B,186,C,192,C
all,174,B,山海众掌令使,NORMAL,199,23375,140,11000,420,250,20.0,3.00,174,B,122,B,161,B,246,C,188,C,197,C,187,C,168,B
all,175,B,雷遁宗师,NORMAL,190,10500,100,7000,350,100,10.0,3.50,175,B,190,C,235,C,293,D,229,C,319,E,291,D,137,B
all,176,B,遮天面包机·果酱款,NORMAL,189,20250,160,9000,400,300,20.0,2.50,176,C,156,B,171,B,217,C,192,C,178,C,188,C,193,C
all,177,B,街头火舞明星,NORMAL,188,18063,163,8500,650,350,10.0,4.00,177,C,160,B,180,C,214,C,123,B,168,B,292,D,169,B
all,178,B,异质源石虫·α,NORMAL,186,15750,200,6000,400,100,20.0,2.00,178,C,209,C,193,C,156,B,193,C,320,E,189,C,194,C
all,179,B,"惊艳事热衷者
",NORMAL,186,14400,240,7200,600,200,20.0,2.50,179,C,187,C,199,C,118,B,140,B,217,C,190,C,324,E
all,180,C,残党阵地术师,ELITE,185,56250,46,15000,0,500,60.0,13.00,180,C,89,A,91,A,341,F,348,F,146,B,26,S,138,B
