Rank,Tier,Operator,Skill,Module,Score,Phys DPS,Arts DPS,True DPS,Ele DPS,Wave TTC,Boss TTC,HPS,EHP Phys,Support Value
82,S,Chongyue,拂尘,FGT-Y: “朔”,264.30,184650.51,0.00,0.00,0.00,949.40,1800.00,0.00,3952.50,1050.00
83,S,Ch'en the Dawnstreak,赤霄·奔夜,AFT-X: 记忆残页,264.08,0.00,893413.87,0.00,0.00,279.99,80.90,0.00,3330.00,0.00
84,S,Necrass,折朽,SOC-X: 未处理的遗产,263.52,0.00,528304.02,0.00,0.00,439.05,251.68,0.00,5522.40,675.00
85,S,Chongyue,冲盈,FGT-X: 'When to Wake Up',263.20,242162.09,0.00,0.00,0.00,854.48,1229.58,0.00,2895.00,1050.00
86,S,Gnosis,失温症,UMD-X: 'Vow',262.58,0.00,391805.18,0.00,0.00,145.79,264.57,0.00,2180.00,105.66
87,S,Mantra,意识联协,PRI-X: 中枢神经探测模块,259.29,0.00,0.00,0.00,736000.00,232.40,49.78,0.00,1573.00,0.00
88,S,Mantra,意识联协,No Module,258.85,0.00,0.00,0.00,736000.00,232.40,49.78,0.00,1428.00,0.00
89,S,Yu,厚礼上宾,No Module,257.58,243523.12,0.00,0.00,131025.00,194.92,231.89,0.00,14855.66,240.00
90,S,Chongyue,RAW,FGT-X: 'When to Wake Up',256.13,155571.79,0.00,0.00,0.00,1412.55,1800.00,0.00,2895.00,1050.00
91,S,Yu,灶里乾坤,PRP-X: 人间百味,255.96,159590.62,0.00,0.00,217406.25,1060.11,242.15,0.00,1714.29,537.00
92,S,Nymph,心防溃决,PRI-Y: 烦恼问诊匣,255.93,0.00,0.00,0.00,686933.33,188.55,68.57,0.00,1820.00,0.00
93,S,Chongyue,冲盈,No Module,255.88,217587.31,0.00,0.00,0.00,968.24,1800.00,0.00,2635.00,1050.00
94,S,Exusiai the New Covenant,RAW,GEE-X: 新朋友圣城生活套组,253.44,256662.13,0.00,0.00,0.00,1212.33,1800.00,0.00,4554.80,975.00
95,S,Chongyue,RAW,No Module,251.38,137133.33,0.00,0.00,0.00,1800.00,1800.00,0.00,2635.00,1050.00
96,S,Tragodia,群体性谵妄,RIT-X: 酒神之心,250.31,0.00,21133.33,0.00,820666.67,72.53,43.78,0.00,1400.00,240.00
97,S,Wiš'adel,饱和复仇,No Module,250.16,558377.57,0.00,0.00,0.00,105.29,168.56,0.00,1888.00,1.84
98,S,Ray,“得见光芒”,No Module,249.68,828787.83,0.00,0.00,0.00,305.45,83.84,0.00,1933.00,0.00
99,S,Blaze,链锯延伸模块,CEN-Y: “稍后回来”,249.19,252635.83,0.00,0.00,0.00,157.30,500.28,0.00,16819.37,0.00
100,S,Penance,坚心苦修,UNY-Y: “无罪”,248.52,129941.49,132018.34,0.00,0.00,719.11,1712.43,0.00,15713.12,480.00
101,S,Texas the Omertosa,剑雨滂沱,EXE-Y: Blueberry & Dark Chocolate,247.84,0.00,553911.09,0.00,0.00,107.01,132.41,0.00,7620.00,24.50
102,S,Saria,钙质化,GUA-X: Unused Boxing Gloves,247.70,38680.25,0.00,0.00,0.00,1800.00,1800.00,140044.82,5250.00,829.00
103,S,Ela,震荡坚守,No Module,247.53,570723.01,0.00,0.00,0.00,107.94,148.28,0.00,1468.00,61.24
104,S,Chongyue,我无,FGT-X: 'When to Wake Up',247.21,127430.93,0.00,0.00,0.00,302.54,1800.00,0.00,2895.00,1050.00
105,S,Nymph,心防溃决,PRI-X: 心声,246.81,0.00,0.00,0.00,601005.33,222.94,69.77,0.00,1800.00,0.00
106,S,Skadi the Corrupting Heart,同归殊途之吟,BAR-Y: 新生代,245.00,0.00,0.00,0.00,0.00,1800.00,1800.00,331657.38,8656.20,0.00
107,S,Surtr,黄昏,AFT-X: 萨米的不灭心脏碎片,242.83,0.00,617490.60,0.00,0.00,113.55,73.83,0.00,9499.20,0.00
108,S,Chongyue,我无,No Module,242.26,113774.80,0.00,0.00,0.00,341.33,1800.00,0.00,2635.00,1050.00
109,S,Gnosis,失温症,No Module,240.80,0.00,348752.40,0.00,0.00,161.62,302.33,0.00,2035.00,100.66
110,S,Necrass,噩愿,No Module,240.61,0.00,383294.16,0.00,0.00,359.04,366.24,0.00,5002.40,675.00
111,S,Pramanix,自然震慑,No Module,238.37,0.00,67741.56,0.00,0.00,1435.90,1560.44,0.00,2247.00,1095.00
112,S,Sakiko Togawa,满月的舞会 (Piano),No Module,237.91,933869.83,0.00,0.00,0.00,86.79,49.47,0.00,2056.00,0.00
113,S,Penance,坚心苦修,No Module,236.64,102948.00,111427.20,0.00,0.00,941.02,1800.00,0.00,15713.12,480.00
114,S,Tragodia,群体性谵妄,No Module,235.72,0.00,21133.33,0.00,820666.67,72.53,43.78,0.00,1200.00,120.00
115,S,Yu,灶里乾坤,No Module,235.55,135764.06,0.00,0.00,217406.25,1141.59,266.94,0.00,1714.29,537.00
116,S,Angelina the Mellow Wish,重力自定义,No Module,235.12,460518.73,110778.03,0.00,0.00,132.21,227.75,0.00,4293.00,39.00
117,S,Chongyue,拂尘,FGT-X: 'When to Wake Up',234.13,87509.13,0.00,0.00,0.00,1133.49,1800.00,0.00,2895.00,1050.00
118,S,Istina,专心致志,DEC-Y: Reading Notes,233.65,0.00,86544.17,0.00,0.00,1800.00,861.70,0.00,1440.00,1058.00
119,S,Eyjafjalla the Hvít Aska,无声润物,WDM-X: 想要留住的声音,233.56,0.00,0.00,0.00,0.00,1800.00,1800.00,275590.74,1863.22,216.00
120,S,Istina,RAW,DEC-Y: Reading Notes,232.19,0.00,55834.95,0.00,0.00,1800.00,1435.95,0.00,1440.00,1058.00
121,S,Chongyue,拂尘,No Module,231.01,77137.50,0.00,0.00,0.00,1305.41,1800.00,0.00,2635.00,1050.00
122,S,Hoederer,死境硝烟,No Module,230.75,229328.90,0.00,0.00,0.00,1310.33,598.65,0.00,12506.58,229.24
123,S,Narantuya,旋刃,LPS-Y: “致我们的老大”,230.15,858455.55,0.00,0.00,0.00,293.34,258.32,0.00,2800.00,190.00
124,S,Nightingale,圣域,RIN-Y: “莺歌”,229.26,0.00,0.00,0.00,0.00,1800.00,1800.00,184932.32,1982.75,591.67
125,S,Istina,文学风暴,DEC-Y: Reading Notes,229.20,0.00,69793.68,0.00,0.00,1650.04,1142.21,0.00,1440.00,1058.00
126,S,Nymph,心防溃决,No Module,228.95,0.00,0.00,0.00,415146.67,223.83,70.08,0.00,1650.00,0.00
127,S,Exusiai the New Covenant,RAW,No Module,225.92,183925.11,0.00,0.00,0.00,1747.68,1800.00,0.00,2279.00,975.00
128,S,Ulpianus,必须促成的接触,CRU-X: 乌尔比安的衣橱,222.85,344541.31,0.00,0.00,0.00,375.80,176.96,0.00,24000.00,0.00
129,S,Mantra,无言为真,PRI-X: 中枢神经探测模块,222.75,0.00,125120.00,0.00,347741.07,194.32,75.23,0.00,1573.00,0.00
130,S,Nightingale,圣域,No Module,222.68,0.00,0.00,0.00,0.00,1800.00,1800.00,177102.63,1705.00,591.67
131,S,Necrass,RAW,SOC-X: 未处理的遗产,222.58,0.00,430215.00,0.00,0.00,910.34,321.99,0.00,5522.40,675.00
132,S,Skadi,涌潮悲歌,DRE-Y: Moist Sword Bag,221.98,446333.33,0.00,0.00,0.00,871.93,338.19,0.00,11902.00,0.00
133,S,Mon3tr,策略：超负荷,XAH-X: 记忆存档,220.78,0.00,0.00,0.00,0.00,1800.00,1800.00,311408.73,1735.00,244.80
134,S,Eyjafjalla the Hvít Aska,无声润物,WDM-Y: 想要留下的生命,219.20,0.00,0.00,0.00,0.00,1800.00,1800.00,252385.17,1554.12,216.00
135,S,Pozëmka,点题,ARC-X: 仪式感,219.17,216835.92,0.00,0.00,0.00,1530.92,418.89,0.00,1802.00,975.00
136,S,Blaze,强力击·γ型,CEN-Y: “稍后回来”,218.77,230995.67,0.00,0.00,0.00,167.96,666.87,0.00,16819.37,0.00
137,S,Narantuya,旋刃,LPS-X: “吹尽狂沙”,217.18,819342.80,0.00,0.00,0.00,309.48,314.81,0.00,2500.00,190.00
138,S,Shu,嘉禾盈仓,GUA-X: On Architecture of Time,217.02,103260.42,0.00,0.00,0.00,1800.00,1800.00,243688.40,8725.86,96.00
139,S,Morgan,无畏招架,DRE-X: 'Iron Heart',214.88,171096.18,0.00,0.00,0.00,1800.00,1800.00,0.00,19140.00,0.00
140,S,Pozëmka,RAW,ARC-X: 仪式感,214.55,133650.00,0.00,0.00,0.00,1800.00,856.86,0.00,1802.00,975.00
141,S,Ulpianus,RAW,CRU-X: 乌尔比安的衣橱,214.39,197712.60,0.00,0.00,0.00,729.45,544.87,0.00,24000.00,0.00
142,S,Haze,RAW,CCR-X: The Witch's Hat,212.92,0.00,62300.00,0.00,0.00,1800.00,918.20,0.00,1420.00,1060.00
143,S,Ela,“博萨克风暴”,No Module,212.41,452769.85,0.00,0.00,0.00,309.91,86.97,0.00,1468.00,143.48
144,S,Haze,赤色之瞳,CCR-X: The Witch's Hat,211.39,0.00,62377.88,0.00,0.00,1800.00,500.39,0.00,1065.00,1060.00
145,S,Haze,攻击力强化·β型,CCR-X: The Witch's Hat,211.20,0.00,83066.67,0.00,0.00,1800.00,680.04,0.00,1420.00,1060.00
146,S,Ch'en the Dawnstreak,赤霄·奔夜,No Module,211.17,0.00,767080.49,0.00,0.00,333.49,91.76,0.00,2910.00,0.00
147,S,Texas the Omertosa,阵雨连绵,EXE-Y: Blueberry & Dark Chocolate,209.74,0.00,271983.30,0.00,0.00,195.17,166.98,0.00,7620.00,600.00
148,S,Horn,终极防线,FOR-X: Exemplars,205.10,358361.32,0.00,0.00,0.00,110.47,113.39,0.00,7302.00,0.00
149,S,Civilight Eterna,编织重构现世,BAR-X: 故事的结局,205.02,0.00,0.00,0.00,0.00,1800.00,1800.00,271503.36,4489.41,225.88
150,S,Blaze,RAW,CEN-Y: “稍后回来”,204.90,130525.00,0.00,0.00,0.00,315.17,1800.00,0.00,16819.37,0.00
151,S,Makoto Yuki,塔纳托斯的囚锁,No Module,202.92,536620.50,0.00,0.00,0.00,75.19,44.41,0.00,2805.00,56.76
152,S,Rosmontis,“如你所愿”,BOM-X: 'Notes',202.77,490040.16,0.00,0.00,0.00,135.33,620.26,0.00,2219.00,36.75
153,S,Surtr,黄昏,No Module,201.82,0.00,524885.76,0.00,0.00,125.90,118.22,0.00,9499.20,0.00
154,S,Saria,钙质化,GUA-Y: Technology Rising Star Award,199.55,41578.25,0.00,0.00,0.00,1800.00,1800.00,44187.26,4023.53,829.00
155,S,Mudrock,秽壤的血脉,UNY-X: Spreading Roots of Soil and Stone,199.41,482154.19,0.00,0.00,0.00,180.95,119.64,0.00,3325.71,61.24
156,S,Blaze,沸腾爆裂,CEN-Y: “稍后回来”,198.59,201088.73,0.00,0.00,0.00,222.07,1278.23,0.00,13350.00,0.00
157,S,Jessica the Liberated,饱和迸射,SPT-Y: 未曾风化,196.91,269521.67,0.00,0.00,0.00,155.28,157.03,0.00,1200.00,73.47
158,S,Necrass,折朽,No Module,195.27,0.00,338135.94,0.00,0.00,751.48,415.86,0.00,5002.40,675.00
159,S,Tragodia,空剧场,RIT-X: 酒神之心,194.30,0.00,16000.00,0.00,487600.00,192.68,64.34,0.00,1400.00,200.00
160,S,Morgan,无畏招架,No Module,194.07,124258.00,0.00,0.00,0.00,1800.00,1800.00,0.00,19140.00,0.00
161,S,Ch'en the Dawnstreak,赤霄·天喟,AFT-X: 记忆残页,193.44,0.00,481161.89,0.00,0.00,115.94,102.94,0.00,3529.80,0.00
162,S,Sakiko Togawa,残月的余响,LOR-Y: 无言的约定,192.48,266981.54,201631.02,0.00,0.00,188.74,109.27,0.00,2356.00,0.00
163,S,Saria,钙质化,No Module,192.43,28725.08,0.00,0.00,0.00,1800.00,1800.00,37246.55,3150.00,829.00
164,S,Skadi,跃浪击,DRE-Y: Moist Sword Bag,192.39,646880.00,0.00,0.00,0.00,427.08,98.54,0.00,11221.60,0.00
165,S,Texas the Omertosa,阵雨连绵,EXE-X: “新车和新生活”,192.38,0.00,259622.99,0.00,0.00,204.22,178.84,0.00,5409.23,600.00
166,S,Jessica the Liberated,饱和迸射,SPT-X: This Hero of Mine,190.93,263813.33,0.00,0.00,0.00,158.97,162.46,0.00,1200.00,73.47
167,S,Matoimaru,恶鬼之力,DRE-Y: Bamboo Ikebana,190.68,264126.63,0.00,0.00,0.00,1173.95,376.84,0.00,12130.30,600.00
168,S,Mantra,无言为真,No Module,188.64,0.00,111200.00,0.00,317360.67,217.61,88.75,0.00,1428.00,0.00
169,S,Schwarz,暮眼锐瞳,ARC-Y: Old Razor,188.50,265225.65,0.00,0.00,0.00,1168.48,331.46,0.00,1833.00,675.00
170,S,Penance,披荆斩棘,No Module,188.17,222480.00,81713.28,0.00,0.00,1800.00,310.31,0.00,11680.00,0.00
171,S,Gavial the Invincible,丛林之魂,No Module,187.02,224540.44,0.00,0.00,0.00,113.69,478.61,0.00,8718.00,0.00
172,S,Thorns,至高之术,LOR-D: 沙蚀,186.18,749883.76,0.00,0.00,0.00,490.17,137.97,0.00,3866.80,0.00
173,S,Penance,披荆斩棘,UNY-Y: “无罪”,186.12,261794.43,92901.79,0.00,0.00,1589.95,250.99,0.00,9182.40,0.00
174,S,Lemuen,归乡邀约,DEA-Y: “弹匣与花窗”,184.49,594110.36,0.00,0.00,0.00,306.33,64.25,0.00,1568.00,270.00
175,S,Perfumer the Distilled,“神殿的余烬”,BLS-Y: “双月的呼吸”,184.30,0.00,0.00,0.00,0.00,1800.00,1800.00,242810.16,2963.16,256.00
176,S,Tragodia,空剧场,No Module,181.40,0.00,16000.00,0.00,487600.00,192.68,64.34,0.00,1200.00,80.00
177,S,Eyjafjalla the Hvít Aska,无声润物,No Module,180.98,0.00,0.00,0.00,0.00,1800.00,1800.00,210152.31,1554.12,216.00
178,S,Pramanix,传音回响,UMD-X: 'Knitting of a Future',180.91,0.00,71029.98,0.00,0.00,1489.44,1626.81,0.00,2499.00,800.00
179,S,Thorns,至高之术,LOR-X: The Salt and the Sand,180.22,727691.01,0.00,0.00,0.00,506.95,153.18,0.00,4020.80,0.00
180,S,Gavial the Invincible,链锯强袭,CEN-Y: 好锯多磨,178.95,291134.00,0.00,0.00,0.00,142.25,388.35,0.00,9706.25,0.00
181,S,Necrass,RAW,No Module,178.65,0.00,275355.00,0.00,0.00,1504.76,524.60,0.00,5002.40,675.00
182,S,Zima the Raging Tide,绝不罢休,HAM-X: 迟到的勋章,176.17,362458.94,0.00,0.00,0.00,90.06,59.81,0.00,1200.00,363.33
183,S,Pozëmka,锐笔速写,ARC-Y: Typewriter Ribbon,174.51,529659.18,0.00,0.00,0.00,515.07,221.11,0.00,1972.00,0.00
184,S,Civilight Eterna,编织重构现世,No Module,173.93,0.00,0.00,0.00,0.00,1800.00,1800.00,233273.25,3830.59,225.88
185,S,Texas the Omertosa,剑雨滂沱,EXE-X: “新车和新生活”,173.90,0.00,410998.58,0.00,0.00,125.41,192.76,0.00,5409.23,24.50
186,S,Narantuya,旋刃,No Module,173.90,668063.75,0.00,0.00,0.00,391.73,1261.54,0.00,2500.00,190.00
187,S,Skadi the Corrupting Heart,同葬无光之愿,BAR-Y: 新生代,171.41,0.00,0.00,0.00,0.00,1800.00,1800.00,185052.54,1603.00,330.00
188,S,Skadi the Corrupting Heart,同归殊途之吟,BAR-X: 蜕化的残迹,170.88,0.00,0.00,0.00,0.00,1800.00,1800.00,230133.15,9358.20,0.00
